ref,title,author,lastRunTime,totalVotes
cartoonistbeard/ps6e3-eda-baseline-cv-0-916248,PS6E3 | EDA | Baseline |CV : 0.916248,Arko Bera,2026-03-02 08:00:00.113000,18

europarinyaprach/predict-customer-churn,Predict Customer Churn,Euro Pochvasin Parinyaprach,2026-03-10 15:01:41.297000,2

prabhpreetsingh5/10-fold-fe-optimized-lgb-xgb-cb-ensemble-baseline,10-Fold FE+Optimized LGB/XGB/CB Ensemble|Baseline,Prabhpreet_Singh5,2026-03-03 12:52:00,3

josephnehrenz/s6e3-xgboost-catboost-to-predict-churn,S6E3 - XGBoost & CatBoost to Predict Churn,Joe,2026-03-17 19:46:14.213000,22

vinodkumargurjar/end-to-end-churn-classification-guide,End-to-End Churn Classification Guide,VINOD KUMAR GURJAR,2026-03-16 12:32:29.977000,10

pilkwang/s6e3-native-cats-platt-scaling,S6E3 | Native Cats & Platt Scaling,Pilkwang Kim,2026-03-01 10:40:49,5

amittalmale/predict-customer-churn-s6e3,Predict Customer Churn s6e3,Amit Talmale,2026-03-04 13:49:40.003000,4

